Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chinook,1949,Imnaha River,0.0,5814.0,5814.0
Chinook,1950,Imnaha River,0.0,3072.0,3072.0
Chinook,1951,Imnaha River,0.0,5283.0,5283.0
Chinook,1952,Imnaha River,0.0,10722.0,10722.0
Chinook,1953,Imnaha River,0.0,8760.0,8760.0
Chinook,1954,Imnaha River,0.0,9162.0,9162.0
Chinook,1954,Minam River,0.0,2382.0,2382.0
Chinook,1955,Catherine Creek,0.0,366.0,366.0
Chinook,1955,Imnaha River,0.0,17568.0,17568.0
Chinook,1955,Minam River,0.0,3246.0,3246.0
Chinook,1955,Upper Grande Ronde River,0.0,168.0,168.0
Chinook,1956,Catherine Creek,0.0,7818.0,7818.0
Chinook,1956,Imnaha River,0.0,5184.0,5184.0
Chinook,1956,Minam River,0.0,6060.0,6060.0
Chinook,1956,Upper Grande Ronde River,0.0,120.0,120.0
Chinook,1957,Bear Valley Cr,0.0,2004.0,2004.0
Chinook,1957,Big Cr,0.0,3327.0,3327.0
Chinook,1957,Catherine Creek,0.0,5262.0,5262.0
Chinook,1957,East Fork Salmon River ,0.0,2163.0,2163.0
Chinook,1957,East Fork South Fork Salmon River,0.0,1608.0,1608.0
Chinook,1957,Imnaha River,0.0,18801.0,18801.0
Chinook,1957,Lemhi R,0.0,4272.0,4272.0
Chinook,1957,Loon Cr,0.0,3174.0,3174.0
Chinook,1957,Marsh Cr,0.0,3576.0,3576.0
Chinook,1957,Minam River,0.0,12312.0,12312.0
Chinook,1957,Salmon R Lower Mainstem,0.0,14664.0,14664.0
Chinook,1957,Secesh R,0.0,2610.0,2610.0
Chinook,1957,Sulphur Cr,0.0,2079.0,2079.0
Chinook,1957,Upper Grande Ronde River,0.0,1596.0,1596.0
Chinook,1957,Upper Salmon River Mainstem,0.0,3653.0,3653.0
Chinook,1957,Valley Cr,0.0,4488.0,4488.0
Chinook,1958,Bear Valley Cr,0.0,1270.0,1270.0
Chinook,1958,Big Cr,0.0,1908.0,1908.0
Chinook,1958,Catherine Creek,0.0,1458.0,1458.0
Chinook,1958,East Fork Salmon River ,0.0,1100.0,1100.0
Chinook,1958,East Fork South Fork Salmon River,0.0,846.0,846.0
Chinook,1958,Imnaha River,0.0,4197.0,4197.0
Chinook,1958,Lemhi R,0.0,3297.0,3297.0
Chinook,1958,Loon Cr,0.0,1443.0,1443.0
Chinook,1958,Marsh Cr,0.0,2049.0,2049.0
Chinook,1958,Minam River,0.0,915.0,915.0
Chinook,1958,Salmon R Lower Mainstem,0.0,2661.0,2661.0
Chinook,1958,Secesh R,0.0,2958.0,2958.0
Chinook,1958,South Fork Salmon Mainstem,0.0,8358.0,8358.0
Chinook,1958,Sulphur Cr,0.0,714.0,714.0
Chinook,1958,Upper Salmon River Mainstem,0.0,1496.0,1496.0
Chinook,1958,Valley Cr,0.0,897.0,897.0
Chinook,1959,Bear Valley Cr,0.0,1588.0,1588.0
Chinook,1959,Big Cr,0.0,1302.0,1302.0
Chinook,1959,Catherine Creek,0.0,2136.0,2136.0
Chinook,1959,East Fork Salmon River ,0.0,950.0,950.0
Chinook,1959,East Fork South Fork Salmon River,0.0,2037.0,2037.0
Chinook,1959,Imnaha River,0.0,2895.0,2895.0
Chinook,1959,Lemhi R,0.0,2781.0,2781.0
Chinook,1959,Loon Cr,0.0,918.0,918.0
Chinook,1959,Lostine/Wallowa,0.0,1971.0,1971.0
Chinook,1959,Marsh Cr,0.0,687.0,687.0
Chinook,1959,Minam River,0.0,5952.0,5952.0
Chinook,1959,Salmon R Lower Mainstem,0.0,2037.0,2037.0
Chinook,1959,Secesh R,0.0,1890.0,1890.0
Chinook,1959,South Fork Salmon Mainstem,0.0,9045.0,9045.0
Chinook,1959,Sulphur Cr,0.0,630.0,630.0
Chinook,1959,Upper Grande Ronde River,0.0,536.0,536.0
Chinook,1959,Upper Salmon River Mainstem,0.0,1327.0,1327.0
Chinook,1959,Valley Cr,0.0,759.0,759.0
Chinook,1960,Bear Valley Cr,0.0,4155.0,4155.0
Chinook,1960,Big Cr,0.0,2292.0,2292.0
Chinook,1960,Camas Cr,0.0,351.0,351.0
Chinook,1960,Catherine Creek,0.0,9483.0,9483.0
Chinook,1960,East Fork Salmon River ,0.0,5523.0,5523.0
Chinook,1960,East Fork South Fork Salmon River,0.0,3549.0,3549.0
Chinook,1960,Entiat R,0.0,1095.0,1095.0
Chinook,1960,Imnaha River,0.0,8130.0,8130.0
Chinook,1960,Lemhi R,0.0,7365.0,7365.0
Chinook,1960,Loon Cr,0.0,2496.0,2496.0
Chinook,1960,Lostine/Wallowa,0.0,1818.0,1818.0
Chinook,1960,Marsh Cr,0.0,2337.0,2337.0
Chinook,1960,Methow R,0.0,6939.0,6939.0
Chinook,1960,Minam River,0.0,2694.0,2694.0
Chinook,1960,Salmon R Lower Mainstem,0.0,4695.0,4695.0
Chinook,1960,Secesh R,0.0,3960.0,3960.0
Chinook,1960,South Fork Salmon Mainstem,0.0,15087.0,15087.0
Chinook,1960,Sulphur Cr,0.0,603.0,603.0
Chinook,1960,Upper Grande Ronde River,0.0,1038.0,1038.0
Chinook,1960,Upper Salmon River Mainstem,0.0,1591.0,1591.0
Chinook,1960,Valley Cr,0.0,1827.0,1827.0
Chinook,1960,Wenatchee R,0.0,7113.0,7113.0
Chinook,1961,Bear Valley Cr,0.0,7128.0,7128.0
Chinook,1961,Big Cr,0.0,5574.0,5574.0
Chinook,1961,Camas Cr,0.0,445.0,445.0
Chinook,1961,Catherine Creek,0.0,1041.0,1041.0
Chinook,1961,East Fork Salmon River ,0.0,10122.0,10122.0
Chinook,1961,East Fork South Fork Salmon River,0.0,1434.0,1434.0
Chinook,1961,Entiat R,0.0,411.0,411.0
Chinook,1961,Imnaha River,0.0,5562.0,5562.0
Chinook,1961,Lemhi R,0.0,10071.0,10071.0
Chinook,1961,Loon Cr,0.0,978.0,978.0
Chinook,1961,Lostine/Wallowa,0.0,843.0,843.0
Chinook,1961,Marsh Cr,0.0,4107.0,4107.0
Chinook,1961,Methow R,0.0,1995.0,1995.0
Chinook,1961,Minam River,0.0,1314.0,1314.0
Chinook,1961,Salmon R Lower Mainstem,0.0,2061.0,2061.0
