Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chum,1968,Hood Canal,0.0,98514.0,98514.0
Chum,1969,Hood Canal,0.0,45219.0,45219.0
Chum,1970,Hood Canal,0.0,37935.0,37935.0
Chum,1971,Hood Canal,0.0,69648.0,69648.0
Chum,1971,Strait of Juan de Fuca,0.0,5124.0,5124.0
Chum,1972,Hood Canal,0.0,120316.0,120316.0
Chum,1972,Strait of Juan de Fuca,0.0,5448.0,5448.0
Chum,1973,Hood Canal,0.0,72428.0,72428.0
Chum,1973,Strait of Juan de Fuca,0.0,6592.0,6592.0
Chum,1974,Hood Canal,0.0,49124.0,49124.0
Chum,1974,Strait of Juan de Fuca,0.0,7072.0,7072.0
Chum,1975,Hood Canal,0.0,72992.0,72992.0
Chum,1975,Strait of Juan de Fuca,0.0,5792.0,5792.0
Chum,1976,Hood Canal,0.0,110860.0,110860.0
Chum,1976,Strait of Juan de Fuca,0.0,5976.0,5976.0
Chum,1977,Hood Canal,0.0,42844.0,42844.0
Chum,1977,Strait of Juan de Fuca,0.0,6576.0,6576.0
Chum,1978,Hood Canal,0.0,78836.0,78836.0
Chum,1978,Strait of Juan de Fuca,0.0,12320.0,12320.0
Chum,1979,Hood Canal,0.0,26216.0,26216.0
Chum,1979,Strait of Juan de Fuca,0.0,3044.0,3044.0
Chum,1980,Hood Canal,0.0,15108.0,15108.0
Chum,1980,Strait of Juan de Fuca,0.0,20436.0,20436.0
Chum,1981,Hood Canal,0.0,9496.0,9496.0
Chum,1981,Strait of Juan de Fuca,0.0,3536.0,3536.0
Chum,1982,Hood Canal,0.0,10492.0,10492.0
Chum,1982,Strait of Juan de Fuca,0.0,11004.0,11004.0
Chum,1983,Hood Canal,0.0,3596.0,3596.0
Chum,1983,Strait of Juan de Fuca,0.0,4556.0,4556.0
Chum,1984,Hood Canal,0.0,5656.0,5656.0
Chum,1984,Strait of Juan de Fuca,0.0,6316.0,6316.0
Chum,1985,Hood Canal,0.0,4436.0,4436.0
Chum,1985,Strait of Juan de Fuca,0.0,928.0,928.0
Chum,1986,Hood Canal,0.0,10208.0,10208.0
Chum,1986,Strait of Juan de Fuca,0.0,4348.0,4348.0
Chum,1987,Hood Canal,0.0,3028.0,3028.0
Chum,1987,Strait of Juan de Fuca,0.0,7964.0,7964.0
Chum,1988,Hood Canal,0.0,11868.0,11868.0
Chum,1988,Strait of Juan de Fuca,0.0,14760.0,14760.0
Chum,1989,Hood Canal,0.0,2392.0,2392.0
Chum,1989,Strait of Juan de Fuca,0.0,1552.0,1552.0
Chum,1990,Hood Canal,0.0,1716.0,1716.0
Chum,1990,Strait of Juan de Fuca,0.0,1364.0,1364.0
Chum,1991,Hood Canal,0.0,2988.0,2988.0
Chum,1991,Strait of Juan de Fuca,0.0,1236.0,1236.0
Chum,1992,Hood Canal,0.0,7780.0,7780.0
Chum,1992,Strait of Juan de Fuca,0.0,4032.0,4032.0
Chum,1993,Hood Canal,0.0,2828.0,2828.0
Chum,1993,Strait of Juan de Fuca,0.0,2084.0,2084.0
Chum,1994,Hood Canal,0.0,8176.0,8176.0
Chum,1994,Strait of Juan de Fuca,0.0,616.0,616.0
Chum,1995,Hood Canal,6100.280000000001,29783.719999999998,35884.0
Chum,1995,Strait of Juan de Fuca,0.0,3144.0,3144.0
Chum,1996,Hood Canal,10247.640000000001,68580.36,78828.0
Chum,1996,Strait of Juan de Fuca,0.0,3900.0,3900.0
Chum,1997,Hood Canal,10102.8,23573.199999999997,33676.0
Chum,1997,Strait of Juan de Fuca,0.0,3408.0,3408.0
Chum,1998,Hood Canal,5037.92,8578.08,13616.0
Chum,1998,Strait of Juan de Fuca,0.0,4592.0,4592.0
Chum,1999,Hood Canal,6369.759999999999,9166.24,15536.0
Chum,1999,Strait of Juan de Fuca,1485.92,522.08,2008.0
Chum,2000,Hood Canal,10542.84,21405.16,31948.0
Chum,2000,Strait of Juan de Fuca,1634.04,1569.96,3204.0
Chum,2001,Hood Canal,19270.4,28905.6,48176.0
Chum,2001,Strait of Juan de Fuca,9966.6,5853.4,15820.0
Chum,2002,Hood Canal,18326.4,27489.6,45816.0
Chum,2002,Strait of Juan de Fuca,11152.0,16797.7,27880.0
Chum,2003,Hood Canal,32840.32,109943.68000000001,142784.0
Chum,2003,Strait of Juan de Fuca,10647.27,17258.32,27836.0
Chum,2004,Hood Canal,39197.200000000004,240782.8,279980.0
Chum,2004,Strait of Juan de Fuca,14945.6,22418.399999999998,37364.0
Chum,2005,Hood Canal,17740.800000000003,45619.2,63360.0
Chum,2005,Strait of Juan de Fuca,14716.64,24011.36,38728.0
Chum,2006,Hood Canal,21403.2,85612.8,107016.0
Chum,2006,Strait of Juan de Fuca,6266.2,26713.800000000003,32980.0
Chum,2007,Hood Canal,5606.12,37517.88,43124.0
Chum,2007,Strait of Juan de Fuca,1052.8,12107.2,13160.0
Chum,2008,Hood Canal,7359.36,53968.64,61328.0
Chum,2008,Strait of Juan de Fuca,2112.6,12006.61,14084.0
Chum,2009,Hood Canal,3277.8,25846.2,29124.0
Chum,2009,Strait of Juan de Fuca,8338.92,11875.079999999998,20214.0
Chum,2010,Hood Canal,4135.89,33463.11,37599.0
Chum,2010,Strait of Juan de Fuca,9913.32,17623.68,27537.0
Chum,2011,Hood Canal,414.84,6499.16,6914.0
Chum,2011,Strait of Juan de Fuca,1589.0000000000002,4086.0,5675.0
Chum,2012,Hood Canal,2394.32,27534.68,29929.0
Chum,2012,Strait of Juan de Fuca,1166.88,4137.12,5304.0
