Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Coho,1974,Clackamas R,2027.5499999999997,3765.4500000000003,5793.0
Coho,1974,Sandy R,0.0,1644.0,1644.0
Coho,1975,Clackamas R,2549.3999999999996,4734.6,7284.0
Coho,1975,Sandy R,0.0,1857.0,1857.0
Coho,1976,Clackamas R,2722.6499999999996,5056.35,7779.0
Coho,1976,Sandy R,0.0,1926.0,1926.0
Coho,1977,Clackamas R,2016.0,3744.0,5760.0
Coho,1977,Sandy R,0.0,273.0,273.0
Coho,1978,Clackamas R,1761.8999999999999,3272.1000000000004,5034.0
Coho,1978,Sandy R,0.0,1221.0,1221.0
Coho,1979,Clackamas R,2573.5499999999997,4779.450000000001,7353.0
Coho,1979,Sandy R,0.0,1101.0,1101.0
Coho,1980,Clackamas R,7182.0,13338.0,20520.0
Coho,1980,Sandy R,3628.62,2737.38,6366.0
Coho,1981,Clackamas R,2632.35,4888.65,7521.0
Coho,1981,Sandy R,1043.6999999999998,1938.3000000000002,2982.0
Coho,1982,Clackamas R,5744.549999999999,10668.45,16413.0
Coho,1982,Sandy R,2768.6400000000003,2175.36,4944.0
Coho,1983,Clackamas R,3597.2999999999997,6680.700000000001,10278.0
Coho,1983,Sandy R,0.0,2235.0,2235.0
Coho,1984,Clackamas R,1537.1999999999998,2854.8,4392.0
Coho,1984,Sandy R,2399.04,2304.96,4704.0
Coho,1985,Clackamas R,7132.65,13246.349999999999,20379.0
Coho,1985,Sandy R,1794.81,4394.1900000000005,6189.0
Coho,1986,Clackamas R,9621.15,17867.85,27489.0
Coho,1986,Sandy R,2992.86,4681.139999999999,7674.0
Coho,1987,Clackamas R,3030.2999999999997,5627.700000000001,8658.0
Coho,1987,Sandy R,0.0,3612.0,3612.0
Coho,1988,Clackamas R,3845.88,6837.12,10683.0
Coho,1988,Sandy R,0.0,4521.0,4521.0
Coho,1989,Clackamas R,5098.68,9064.32,14163.0
Coho,1989,Sandy R,0.0,6546.0,6546.0
Coho,1990,Alsea R,1675.8,3112.2000000000003,4788.0
Coho,1990,Beaver Cr,0.0,360.0,360.0
Coho,1990,Clackamas R,1591.8000000000002,2956.2,4548.0
Coho,1990,Coos R,90.92,9001.08,9092.0
Coho,1990,Coquille R,542.4,10305.6,10848.0
Coho,1990,Necanicum R,336.0,504.0,840.0
Coho,1990,Nehalem R,21985.039999999997,4502.96,26488.0
Coho,1990,Nestucca R,113.39999999999999,642.6,756.0
Coho,1990,Salmon R,1666.56,69.44,1736.0
Coho,1990,Sandy R,0.0,1128.0,1128.0
Coho,1990,Siletz R,846.7199999999999,917.2800000000001,1764.0
Coho,1990,Siltcoos L,194.64,6293.36,6488.0
Coho,1990,Siuslaw R,2707.56,9064.44,11772.0
Coho,1990,Sixes R,20.16,231.84,252.0
Coho,1990,Tahkenitch L,0.0,4340.0,4340.0
Coho,1990,Tenmile L,0.0,6748.0,6748.0
Coho,1990,Tillamook Bay,576.0,324.0,900.0
Coho,1990,Umpqua R Lower,354.6,6737.4,7092.0
Coho,1990,Umpqua R Middle,313.2,4906.799999999999,5220.0
Coho,1990,Umpqua R North,5032.56,1419.44,6452.0
Coho,1990,Umpqua R South,2078.4,11777.6,13856.0
Coho,1990,Yaquina R,259.08000000000004,1264.9199999999998,1524.0
Coho,1991,Alsea R,2185.3999999999996,4058.6000000000004,6244.0
Coho,1991,Beaver Cr,0.0,1936.0,1936.0
Coho,1991,Clackamas R,7026.599999999999,13049.400000000001,20076.0
Coho,1991,Coos R,5490.719999999999,9761.28,15252.0
Coho,1991,Coquille R,3390.6,19213.399999999998,22604.0
Coho,1991,Necanicum R,2004.8000000000002,3007.2,5012.0
Coho,1991,Nehalem R,12212.76,27183.239999999998,39396.0
Coho,1991,Nestucca R,436.8,2475.2,2912.0
Coho,1991,Salmon R,135.72,20.28,156.0
Coho,1991,Sandy R,0.0,4473.0,4473.0
Coho,1991,Siletz R,2285.2,1654.8,3940.0
Coho,1991,Siltcoos L,115.8,11464.2,11580.0
Coho,1991,Siuslaw R,5769.120000000001,11198.880000000001,16968.0
Coho,1991,Sixes R,12.16,139.84,152.0
Coho,1991,Tahkenitch L,0.0,4860.0,4860.0
Coho,1991,Tenmile L,376.91999999999996,12187.08,12564.0
Coho,1991,Tillamook Bay,6027.0,6273.0,12300.0
Coho,1991,Umpqua R Lower,0.0,12492.0,12492.0
Coho,1991,Umpqua R Middle,1164.96,18251.039999999997,19416.0
Coho,1991,Umpqua R North,9700.6,5223.4,14924.0
Coho,1991,Umpqua R South,3999.0,8901.0,12900.0
Coho,1991,Yaquina R,258.40000000000003,1261.6,1520.0
Coho,1992,Alsea R,8826.48,25121.52,33948.0
Coho,1992,Beaver Cr,0.0,2472.0,2472.0
Coho,1992,Clackamas R,7821.449999999999,14525.550000000001,22347.0
Coho,1992,Coos R,1358.32,66557.68,67916.0
Coho,1992,Coquille R,338.40000000000003,8121.599999999999,8460.0
Coho,1992,Necanicum R,355.20000000000005,532.8,888.0
Coho,1992,Nehalem R,9487.8,5572.2,15060.0
Coho,1992,Nestucca R,328.32,2407.68,2736.0
