Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Steelhead,1965,John Day Lower Mainstem,0.0,9540.0,9540.0
Steelhead,1965,John Day Upper Mainstem,0.0,3924.0,3924.0
Steelhead,1965,South Fork John Day River,0.0,7671.0,7671.0
Steelhead,1966,Imnaha River,0.0,681.0,681.0
Steelhead,1966,John Day Lower Mainstem,0.0,20943.0,20943.0
Steelhead,1966,John Day Upper Mainstem,0.0,15507.0,15507.0
Steelhead,1966,Middle Fork John Day River,0.0,9867.0,9867.0
Steelhead,1966,North Fork John Day,0.0,30705.0,30705.0
Steelhead,1966,South Fork John Day River,0.0,8187.0,8187.0
Steelhead,1967,Imnaha River,0.0,681.0,681.0
Steelhead,1967,John Day Lower Mainstem,0.0,16638.0,16638.0
Steelhead,1967,John Day Upper Mainstem,0.0,12291.0,12291.0
Steelhead,1967,Middle Fork John Day River,0.0,6306.0,6306.0
Steelhead,1967,North Fork John Day,0.0,17784.0,17784.0
Steelhead,1967,South Fork John Day River,0.0,3663.0,3663.0
Steelhead,1967,Umatilla R,0.0,4710.0,4710.0
Steelhead,1967,Upper Grande Ronde River,0.0,16266.0,16266.0
Steelhead,1968,Imnaha River,0.0,69.0,69.0
Steelhead,1968,John Day Lower Mainstem,0.0,11352.0,11352.0
Steelhead,1968,John Day Upper Mainstem,0.0,4260.0,4260.0
Steelhead,1968,Middle Fork John Day River,0.0,2910.0,2910.0
Steelhead,1968,North Fork John Day,0.0,7470.0,7470.0
Steelhead,1968,South Fork John Day River,0.0,228.0,228.0
Steelhead,1968,Umatilla R,0.0,2463.0,2463.0
Steelhead,1968,Upper Grande Ronde River,0.0,5964.0,5964.0
Steelhead,1969,Imnaha River,0.0,150.0,150.0
Steelhead,1969,John Day Lower Mainstem,0.0,8943.0,8943.0
Steelhead,1969,John Day Upper Mainstem,0.0,5172.0,5172.0
Steelhead,1969,Middle Fork John Day River,0.0,2025.0,2025.0
Steelhead,1969,North Fork John Day,0.0,15933.0,15933.0
Steelhead,1969,South Fork John Day River,0.0,4308.0,4308.0
Steelhead,1969,Umatilla R,0.0,5079.0,5079.0
Steelhead,1969,Upper Grande Ronde River,0.0,10029.0,10029.0
Steelhead,1970,Imnaha River,0.0,291.0,291.0
Steelhead,1970,John Day Lower Mainstem,0.0,13944.0,13944.0
Steelhead,1970,John Day Upper Mainstem,0.0,5976.0,5976.0
Steelhead,1970,Joseph Creek,0.0,8274.0,8274.0
Steelhead,1970,Middle Fork John Day River,0.0,9108.0,9108.0
Steelhead,1970,North Fork John Day,0.0,7113.0,7113.0
Steelhead,1970,South Fork John Day River,0.0,3762.0,3762.0
Steelhead,1970,Umatilla R,0.0,6087.0,6087.0
Steelhead,1970,Upper Grande Ronde River,0.0,4203.0,4203.0
Steelhead,1971,Imnaha River,0.0,396.0,396.0
Steelhead,1971,Joseph Creek,0.0,4077.0,4077.0
Steelhead,1971,South Fork John Day River,0.0,3762.0,3762.0
Steelhead,1971,Umatilla R,0.0,7281.0,7281.0
Steelhead,1971,Upper Grande Ronde River,0.0,6912.0,6912.0
Steelhead,1972,Imnaha River,0.0,63.0,63.0
Steelhead,1972,John Day Lower Mainstem,0.0,4134.0,4134.0
Steelhead,1972,John Day Upper Mainstem,0.0,5241.0,5241.0
Steelhead,1972,Joseph Creek,0.0,5238.0,5238.0
Steelhead,1972,Middle Fork John Day River,0.0,3795.0,3795.0
Steelhead,1972,North Fork John Day,0.0,9009.0,9009.0
Steelhead,1972,South Fork John Day River,0.0,3918.0,3918.0
Steelhead,1972,Umatilla R,0.0,6567.0,6567.0
Steelhead,1972,Upper Grande Ronde River,0.0,6912.0,6912.0
Steelhead,1973,Imnaha River,0.0,39.0,39.0
Steelhead,1973,John Day Lower Mainstem,0.0,4905.0,4905.0
Steelhead,1973,John Day Upper Mainstem,0.0,3291.0,3291.0
Steelhead,1973,Joseph Creek,0.0,2795.0,2795.0
Steelhead,1973,Middle Fork John Day River,0.0,2385.0,2385.0
Steelhead,1973,North Fork John Day,0.0,4086.0,4086.0
Steelhead,1973,South Fork John Day River,0.0,2457.0,2457.0
Steelhead,1973,Umatilla R,0.0,5448.0,5448.0
Steelhead,1973,Upper Grande Ronde River,0.0,13419.0,13419.0
Steelhead,1974,Clackamas R,149.66,3078.7200000000003,3207.0
Steelhead,1974,Imnaha River,0.0,87.0,87.0
Steelhead,1974,John Day Lower Mainstem,0.0,4536.0,4536.0
Steelhead,1974,John Day Upper Mainstem,0.0,2853.0,2853.0
Steelhead,1974,Joseph Creek,0.0,2960.0,2960.0
Steelhead,1974,Middle Fork John Day River,0.0,3543.0,3543.0
Steelhead,1974,Sandy R,5130.42,1802.58,6933.0
Steelhead,1974,South Fork John Day River,0.0,2484.0,2484.0
Steelhead,1974,Umatilla R,0.0,6993.0,6993.0
Steelhead,1974,Upper Grande Ronde River,0.0,2169.0,2169.0
Steelhead,1975,Clackamas R,437.76,6858.24,7296.0
Steelhead,1975,Imnaha River,0.0,24.0,24.0
Steelhead,1975,John Day Lower Mainstem,0.0,14973.0,14973.0
Steelhead,1975,John Day Upper Mainstem,0.0,3717.0,3717.0
Steelhead,1975,Joseph Creek,0.0,1134.0,1134.0
Steelhead,1975,Middle Fork John Day River,0.0,5313.0,5313.0
Steelhead,1975,Sandy R,6551.219999999999,2301.7799999999997,8853.0
Steelhead,1975,South Fork John Day River,0.0,4452.0,4452.0
Steelhead,1975,Umatilla R,0.0,5751.0,5751.0
Steelhead,1975,Upper Grande Ronde River,0.0,2304.0,2304.0
Steelhead,1976,Clackamas R,734.3700000000001,4914.63,5649.0
Steelhead,1976,Imnaha River,0.0,6.0,6.0
Steelhead,1976,John Day Lower Mainstem,0.0,8391.0,8391.0
Steelhead,1976,John Day Upper Mainstem,0.0,3597.0,3597.0
Steelhead,1976,Joseph Creek,0.0,905.0,905.0
Steelhead,1976,Middle Fork John Day River,0.0,7338.0,7338.0
Steelhead,1976,North Fork John Day,0.0,7113.0,7113.0
Steelhead,1976,Sandy R,6117.24,1931.7599999999998,8049.0
Steelhead,1976,South Fork John Day River,0.0,2316.0,2316.0
Steelhead,1976,Umatilla R,0.0,6711.0,6711.0
Steelhead,1976,Upper Grande Ronde River,0.0,948.0,948.0
Steelhead,1977,Clackamas R,1751.7599999999998,5547.24,7299.0
Steelhead,1977,Imnaha River,0.0,39.0,39.0
Steelhead,1977,John Day Upper Mainstem,0.0,6471.0,6471.0
Steelhead,1977,Joseph Creek,0.0,1776.0,1776.0
Steelhead,1977,Methow River,887.04,120.96000000000001,1008.0
Steelhead,1977,Middle Fork John Day River,0.0,10374.0,10374.0
Steelhead,1977,North Fork John Day,0.0,5820.0,5820.0
Steelhead,1977,Okanogan River,2904.39,218.61,3123.0
Steelhead,1977,Sandy R,3785.1000000000004,1329.9,5115.0
Steelhead,1977,South Fork John Day River,0.0,3069.0,3069.0
Steelhead,1977,Strait of Juan de Fuca Tributaries,0.0,212.0,212.0
Steelhead,1977,Umatilla R,0.0,3333.0,3333.0
Steelhead,1977,Upper Grande Ronde River,0.0,5286.0,5286.0
Steelhead,1978,Clackamas R,4369.08,5128.92,9498.0
Steelhead,1978,Deschutes River West Side,18.0,1782.0,1800.0
Steelhead,1978,Entiat River,822.1500000000001,122.85000000000001,945.0
Steelhead,1978,Imnaha River,0.0,69.0,69.0
Steelhead,1978,John Day Lower Mainstem,0.0,9528.0,9528.0
Steelhead,1978,John Day Upper Mainstem,0.0,3234.0,3234.0
Steelhead,1978,Joseph Creek,0.0,1325.0,1325.0
Steelhead,1978,Methow River,2460.48,335.52,2796.0
Steelhead,1978,Middle Fork John Day River,0.0,7254.0,7254.0
Steelhead,1978,North Fork John Day,0.0,5604.0,5604.0
Steelhead,1978,Okanogan River,4106.88,309.12,4416.0
Steelhead,1978,Sandy R,9404.01,2808.9900000000002,12213.0
Steelhead,1978,South Fork John Day River,0.0,1764.0,1764.0
Steelhead,1978,Strait of Juan de Fuca Tributaries,0.0,420.0,420.0
Steelhead,1978,Umatilla R,0.0,8160.0,8160.0
Steelhead,1978,Upper Grande Ronde River,0.0,4743.0,4743.0
Steelhead,1978,Wenatchee River,1862.4,465.6,2328.0
Steelhead,1979,Clackamas R,2672.88,4551.12,7224.0
Steelhead,1979,Deschutes River West Side,11.73,1161.27,1173.0
Steelhead,1979,Entiat River,343.62,70.38,414.0
Steelhead,1979,Imnaha River,0.0,102.0,102.0
Steelhead,1979,John Day Lower Mainstem,0.0,333.0,333.0
Steelhead,1979,John Day Upper Mainstem,0.0,645.0,645.0
Steelhead,1979,Joseph Creek,0.0,275.0,275.0
Steelhead,1979,Methow River,58.08,7.919999999999999,66.0
Steelhead,1979,Middle Fork John Day River,0.0,1011.0,1011.0
Steelhead,1979,North Fork John Day,0.0,2271.0,2271.0
Steelhead,1979,Okanogan River,959.76,72.24000000000001,1032.0
Steelhead,1979,Sandy R,4560.0,1440.0,6000.0
Steelhead,1979,South Fork John Day River,0.0,642.0,642.0
Steelhead,1979,Strait of Juan de Fuca Tributaries,0.0,234.0,234.0
Steelhead,1979,Umatilla R,0.0,7116.0,7116.0
Steelhead,1979,Upper Grande Ronde River,0.0,270.0,270.0
Steelhead,1979,Wenatchee River,611.04,300.96000000000004,912.0
Steelhead,1980,Calapooia R,0.0,1124.0,1124.0
Steelhead,1980,Clackamas R,1776.6,8093.4,9870.0
Steelhead,1980,Deschutes River West Side,57.84,1388.1599999999999,1446.0
Steelhead,1980,Entiat River,381.57000000000005,101.43,483.0
Steelhead,1980,Imnaha River,0.0,213.0,213.0
Steelhead,1980,John Day Lower Mainstem,0.0,6987.0,6987.0
Steelhead,1980,John Day Upper Mainstem,0.0,3093.0,3093.0
Steelhead,1980,Joseph Creek,0.0,2289.0,2289.0
Steelhead,1980,Methow River,1655.28,225.71999999999997,1881.0
Steelhead,1980,Middle Fork John Day River,0.0,2445.0,2445.0
Steelhead,1980,Molalla R,3878.3999999999996,9049.599999999999,12928.0
Steelhead,1980,North Fork John Day,0.0,7899.0,7899.0
Steelhead,1980,Okanogan River,2717.46,204.54000000000002,2922.0
Steelhead,1980,Sandy R,7145.549999999999,1899.4499999999998,9045.0
Steelhead,1980,Santiam R N,2844.6,16119.4,18964.0
Steelhead,1980,Santiam R S,0.0,11856.0,11856.0
Steelhead,1980,South Fork John Day River,0.0,1353.0,1353.0
Steelhead,1980,Strait of Juan de Fuca Tributaries,0.0,360.0,360.0
Steelhead,1980,Umatilla R,0.0,6270.0,6270.0
Steelhead,1980,Upper Grande Ronde River,0.0,9216.0,9216.0
Steelhead,1980,Wenatchee River,1965.6000000000001,491.40000000000003,2457.0
Steelhead,1981,Calapooia R,0.0,772.0,772.0
Steelhead,1981,Clackamas R,4254.03,8636.970000000001,12891.0
Steelhead,1981,Deschutes River West Side,69.36,1664.6399999999999,1734.0
Steelhead,1981,Entiat River,308.25,102.75,411.0
Steelhead,1981,Imnaha River,0.0,57.0,57.0
Steelhead,1981,John Day Lower Mainstem,0.0,7260.0,7260.0
Steelhead,1981,John Day Upper Mainstem,0.0,2103.0,2103.0
Steelhead,1981,Joseph Creek,0.0,4242.0,4242.0
Steelhead,1981,Methow River,1016.4000000000001,138.6,1155.0
Steelhead,1981,Middle Fork John Day River,0.0,3954.0,3954.0
Steelhead,1981,Molalla R,3170.4,7397.599999999999,10568.0
Steelhead,1981,North Fork John Day,0.0,7170.0,7170.0
Steelhead,1981,Okanogan River,1682.3700000000003,126.63,1809.0
Steelhead,1981,Pilchuck R,0.0,980.0,980.0
Steelhead,1981,Sandy R,8441.46,3792.54,12234.0
Steelhead,1981,Santiam R N,2464.7999999999997,13967.199999999999,16432.0
Steelhead,1981,Santiam R S,0.0,9496.0,9496.0
Steelhead,1981,Snoqualmie R,0.0,2334.0,2334.0
Steelhead,1981,South Fork John Day River,0.0,1401.0,1401.0
Steelhead,1981,Strait of Juan de Fuca Tributaries,0.0,384.0,384.0
Steelhead,1981,Tahuya R,0.0,188.0,188.0
Steelhead,1981,Umatilla R,0.0,3342.0,3342.0
Steelhead,1981,Upper Grande Ronde River,0.0,1626.0,1626.0
Steelhead,1981,Wenatchee River,1008.0,252.0,1260.0
Steelhead,1982, ,0.0,11760.0,11760.0
Steelhead,1982,Calapooia R,0.0,1880.0,1880.0
Steelhead,1982,Clackamas R,1382.4,5529.6,6912.0
Steelhead,1982,Deschutes River West Side,53.46,2619.54,2673.0
Steelhead,1982,Entiat River,458.15999999999997,93.84,552.0
Steelhead,1982,Imnaha River,0.0,45.0,45.0
Steelhead,1982,John Day Lower Mainstem,0.0,5142.0,5142.0
Steelhead,1982,John Day Upper Mainstem,0.0,2403.0,2403.0
Steelhead,1982,Joseph Creek,0.0,2601.0,2601.0
Steelhead,1982,Methow River,2354.88,321.12,2676.0
Steelhead,1982,Middle Fork John Day River,0.0,3480.0,3480.0
Steelhead,1982,Molalla R,2785.2,6498.799999999999,9284.0
Steelhead,1982,North Fork John Day,0.0,7419.0,7419.0
Steelhead,1982,Okanogan River,3914.37,294.63,4209.0
Steelhead,1982,Pilchuck R,0.0,1314.0,1314.0
Steelhead,1982,Sandy R,5980.0,1872.0,7800.0
Steelhead,1982,Santiam R N,2220.6,12583.4,14804.0
Steelhead,1982,Santiam R S,355.52,8532.48,8888.0
Steelhead,1982,Snoqualmie R,0.0,2522.0,2522.0
Steelhead,1982,South Fork John Day River,0.0,2472.0,2472.0
Steelhead,1982,Strait of Juan de Fuca Tributaries,0.0,327.0,327.0
Steelhead,1982,Tahuya R,0.0,172.0,172.0
Steelhead,1982,Umatilla R,0.0,1827.0,1827.0
Steelhead,1982,Upper Grande Ronde River,0.0,2574.0,2574.0
Steelhead,1982,Wenatchee River,1996.02,562.98,2559.0
Steelhead,1983, ,0.0,15768.0,15768.0
Steelhead,1983,Calapooia R,0.0,1516.0,1516.0
Steelhead,1983,Clackamas R,315.18,4937.82,5253.0
Steelhead,1983,Deschutes River West Side,62.10000000000001,1179.8999999999999,1242.0
Steelhead,1983,Entiat River,575.64,126.35999999999999,702.0
Steelhead,1983,Imnaha River,0.0,108.0,108.0
Steelhead,1983,John Day Lower Mainstem,0.0,5445.0,5445.0
Steelhead,1983,John Day Upper Mainstem,0.0,2892.0,2892.0
Steelhead,1983,Joseph Creek,0.0,2154.0,2154.0
Steelhead,1983,Methow River,2519.88,219.12,2739.0
Steelhead,1983,Middle Fork John Day River,0.0,2652.0,2652.0
Steelhead,1983,Molalla R,1908.0,4452.0,6360.0
Steelhead,1983,North Fork John Day,0.0,3459.0,3459.0
Steelhead,1983,Okanogan River,3922.56,163.44,4086.0
Steelhead,1983,Pilchuck R,0.0,1558.0,1558.0
Steelhead,1983,Sandy R,5730.66,1616.34,7347.0
Steelhead,1983,Santiam R N,2511.0,14229.0,16740.0
Steelhead,1983,Santiam R S,290.56,6973.44,7264.0
Steelhead,1983,Snoqualmie R,0.0,5072.0,5072.0
Steelhead,1983,South Fork John Day River,0.0,2463.0,2463.0
Steelhead,1983,Strait of Juan de Fuca Tributaries,0.0,156.0,156.0
Steelhead,1983,Tahuya R,0.0,88.0,88.0
Steelhead,1983,Umatilla R,0.0,2922.0,2922.0
Steelhead,1983,Upper Grande Ronde River,0.0,5016.0,5016.0
Steelhead,1983,Wenatchee River,4213.08,862.9200000000001,5076.0
Steelhead,1984, ,0.0,18696.0,18696.0
Steelhead,1984,Calapooia R,0.0,1628.0,1628.0
Steelhead,1984,Clackamas R,1183.8000000000002,4735.200000000001,5919.0
Steelhead,1984,Deschutes River West Side,225.3,2027.6999999999998,2253.0
Steelhead,1984,Entiat River,53.94,33.06,87.0
Steelhead,1984,Imnaha River,0.0,87.0,87.0
Steelhead,1984,John Day Lower Mainstem,0.0,5748.0,5748.0
Steelhead,1984,John Day Upper Mainstem,0.0,3450.0,3450.0
Steelhead,1984,Joseph Creek,0.0,2802.0,2802.0
Steelhead,1984,Methow River,8552.460000000001,174.54,8727.0
Steelhead,1984,Middle Fork John Day River,0.0,2217.0,2217.0
Steelhead,1984,Molalla R,2692.7999999999997,6283.2,8976.0
Steelhead,1984,Morse Cr,0.0,278.0,278.0
Steelhead,1984,North Fork John Day,0.0,2112.0,2112.0
Steelhead,1984,Okanogan River,14814.36,149.64000000000001,14964.0
Steelhead,1984,Pilchuck R,0.0,1860.0,1860.0
Steelhead,1984,Sandy R,4553.280000000001,2142.7200000000003,6696.0
Steelhead,1984,Santiam R N,2512.7999999999997,14239.199999999999,16752.0
Steelhead,1984,Santiam R S,2971.08,11176.92,14148.0
Steelhead,1984,Snoqualmie R,0.0,4610.0,4610.0
Steelhead,1984,South Fork John Day River,0.0,2061.0,2061.0
Steelhead,1984,Strait of Juan de Fuca Tributaries,0.0,393.0,393.0
Steelhead,1984,Tahuya R,0.0,344.0,344.0
Steelhead,1984,Umatilla R,0.0,5991.0,5991.0
Steelhead,1984,Upper Grande Ronde River,0.0,1899.0,1899.0
Steelhead,1984,Wenatchee River,15508.440000000002,1348.56,16857.0
Steelhead,1985, ,0.0,22320.0,22320.0
Steelhead,1985,Calapooia R,0.0,2220.0,2220.0
Steelhead,1985,Clackamas R,936.96,4919.039999999999,5856.0
Steelhead,1985,Deschutes River West Side,139.20000000000002,2644.7999999999997,2784.0
Steelhead,1985,East Hood Canal,484.91999999999996,862.08,1347.0
Steelhead,1985,Elwha R,501.0,0.0,501.0
Steelhead,1985,Entiat River,129.6,86.4,216.0
Steelhead,1985,Fifteenmile Creek,0.0,1469.0,1469.0
Steelhead,1985,Green R,5042.5199999999995,6963.48,12006.0
Steelhead,1985,Imnaha River,0.0,246.0,246.0
Steelhead,1985,John Day Lower Mainstem,0.0,7563.0,7563.0
Steelhead,1985,John Day Upper Mainstem,0.0,6429.0,6429.0
Steelhead,1985,Joseph Creek,0.0,19427.0,19427.0
Steelhead,1985,Lake Washington,1605.9,1424.1,3030.0
Steelhead,1985,Methow River,8537.94,264.06,8802.0
Steelhead,1985,Middle Fork John Day River,0.0,7119.0,7119.0
Steelhead,1985,Molalla R,3754.7999999999997,8761.199999999999,12516.0
Steelhead,1985,Morse Cr,0.0,290.0,290.0
Steelhead,1985,Naches Cr,0.0,2073.0,2073.0
Steelhead,1985,Nisqually R,530.1,4770.9,5301.0
Steelhead,1985,North Fork John Day,0.0,15792.0,15792.0
Steelhead,1985,Okanogan River,11848.2,241.8,12090.0
Steelhead,1985,Pilchuck R,0.0,3412.0,3412.0
Steelhead,1985,Port Angeles,150.5,279.5,430.0
Steelhead,1985,Puyallup R,4804.9800000000005,4261.0199999999995,9066.0
Steelhead,1985,Samish R,0.0,3156.0,3156.0
Steelhead,1985,Sandy R,6605.1900000000005,1755.81,8361.0
Steelhead,1985,Santiam R N,4179.599999999999,23684.399999999998,27864.0
Steelhead,1985,Santiam R S,1774.08,14353.92,16128.0
Steelhead,1985,Satus Cr,0.0,2547.0,2547.0
Steelhead,1985,Skagit R,11074.5,25840.5,36915.0
Steelhead,1985,Skokomish R,0.0,2904.0,2904.0
Steelhead,1985,Snohomish R,13113.599999999999,19670.4,32784.0
Steelhead,1985,Snoqualmie R,0.0,3496.0,3496.0
Steelhead,1985,South Fork John Day River,0.0,4269.0,4269.0
Steelhead,1985,Stillaguamish R,0.0,4626.0,4626.0
Steelhead,1985,Strait of Juan de Fuca Tributaries,0.0,462.0,462.0
Steelhead,1985,Tahuya R,0.0,370.0,370.0
Steelhead,1985,Tolt R,0.0,420.0,420.0
Steelhead,1985,Toppenish Cr,0.0,666.0,666.0
Steelhead,1985,Umatilla R,0.0,8193.0,8193.0
Steelhead,1985,Upper Grande Ronde River,0.0,19383.0,19383.0
Steelhead,1985,Wenatchee River,12033.69,1487.31,13521.0
Steelhead,1985,White R,0.0,3117.0,3117.0
Steelhead,1985,Yakima R Upper,8.34,408.65999999999997,417.0
Steelhead,1986, ,0.0,40944.0,40944.0
Steelhead,1986,Calapooia R,0.0,1836.0,1836.0
Steelhead,1986,Clackamas R,1163.8200000000002,5682.18,6846.0
Steelhead,1986,Deschutes River West Side,127.97999999999999,2005.0199999999998,2133.0
Steelhead,1986,East Hood Canal,213.14999999999998,521.8499999999999,735.0
Steelhead,1986,Elwha R,372.45000000000005,2492.55,2865.0
Steelhead,1986,Entiat River,877.8000000000001,262.20000000000005,1140.0
Steelhead,1986,Fifteenmile Creek,0.0,3385.0,3385.0
Steelhead,1986,Green R,1489.9499999999998,8443.05,9933.0
Steelhead,1986,Imnaha River,0.0,270.0,270.0
Steelhead,1986,John Day Lower Mainstem,0.0,22404.0,22404.0
Steelhead,1986,John Day Upper Mainstem,0.0,9825.0,9825.0
Steelhead,1986,Joseph Creek,0.0,16127.0,16127.0
Steelhead,1986,Lake Washington,285.90000000000003,5432.099999999999,5718.0
Steelhead,1986,Methow River,11935.8,628.2,12564.0
Steelhead,1986,Middle Fork John Day River,0.0,10614.0,10614.0
Steelhead,1986,Molalla R,3532.7999999999997,8243.199999999999,11776.0
Steelhead,1986,Morse Cr,0.0,210.0,210.0
Steelhead,1986,Naches Cr,0.0,2109.0,2109.0
Steelhead,1986,Nisqually R,423.6,4871.400000000001,5295.0
Steelhead,1986,North Fork John Day,0.0,14685.0,14685.0
Steelhead,1986,Okanogan River,10921.23,337.77,11259.0
Steelhead,1986,Pilchuck R,0.0,3288.0,3288.0
Steelhead,1986,Port Angeles,53.519999999999996,169.48,223.0
Steelhead,1986,Puyallup R,961.5,8653.5,9615.0
Steelhead,1986,Sandy R,6357.12,1898.88,8256.0
Steelhead,1986,Santiam R N,2770.7999999999997,15701.199999999999,18472.0
Steelhead,1986,Santiam R S,1258.8000000000002,11329.2,12588.0
Steelhead,1986,Satus Cr,0.0,2592.0,2592.0
Steelhead,1986,Skagit R,4104.21,33206.79,37311.0
Steelhead,1986,Skokomish R,0.0,2598.0,2598.0
Steelhead,1986,Snohomish R,1229.1000000000001,23352.899999999998,24582.0
Steelhead,1986,Snoqualmie R,0.0,4140.0,4140.0
Steelhead,1986,South Fork John Day River,0.0,3207.0,3207.0
Steelhead,1986,Stillaguamish R,0.0,6678.0,6678.0
Steelhead,1986,Strait of Juan de Fuca Tributaries,0.0,183.0,183.0
Steelhead,1986,Tahuya R,0.0,284.0,284.0
Steelhead,1986,Tolt R,0.0,252.0,252.0
Steelhead,1986,Toppenish Cr,0.0,678.0,678.0
Steelhead,1986,Umatilla R,0.0,7458.0,7458.0
Steelhead,1986,Upper Grande Ronde River,0.0,9759.0,9759.0
Steelhead,1986,Wenatchee River,15032.25,2652.75,17685.0
Steelhead,1986,White R,0.0,2661.0,2661.0
Steelhead,1986,Yakima R Upper,8.52,417.48,426.0
Steelhead,1987, ,0.0,39456.0,39456.0
Steelhead,1987,Calapooia R,0.0,1924.0,1924.0
Steelhead,1987,Clackamas R,882.0,5418.0,6300.0
Steelhead,1987,Deschutes River West Side,503.1600000000001,3090.84,3594.0
Steelhead,1987,East Hood Canal,0.0,366.0,366.0
Steelhead,1987,Elwha R,0.0,1482.0,1482.0
Steelhead,1987,Entiat River,469.79999999999995,313.20000000000005,783.0
Steelhead,1987,Fifteenmile Creek,0.0,3497.0,3497.0
Steelhead,1987,Green R,450.48,5180.52,5631.0
Steelhead,1987,Imnaha River,0.0,399.0,399.0
Steelhead,1987,John Day Lower Mainstem,0.0,31671.0,31671.0
Steelhead,1987,John Day Upper Mainstem,0.0,10560.0,10560.0
Steelhead,1987,Joseph Creek,0.0,13122.0,13122.0
Steelhead,1987,Lake Washington,0.0,3516.0,3516.0
Steelhead,1987,Methow River,8176.32,340.68,8517.0
Steelhead,1987,Middle Fork John Day River,0.0,8697.0,8697.0
Steelhead,1987,Molalla R,2984.4,6963.599999999999,9948.0
Steelhead,1987,Morse Cr,0.0,236.0,236.0
Steelhead,1987,Naches Cr,46.620000000000005,2284.38,2331.0
Steelhead,1987,Nisqually R,187.38,6058.62,6246.0
Steelhead,1987,North Fork John Day,0.0,14262.0,14262.0
Steelhead,1987,Okanogan River,5656.5599999999995,115.44000000000001,5772.0
Steelhead,1987,Pilchuck R,0.0,2832.0,2832.0
Steelhead,1987,Port Angeles,0.0,118.0,118.0
Steelhead,1987,Puyallup R,199.56,4789.4400000000005,4989.0
Steelhead,1987,Samish R,0.0,2508.0,2508.0
Steelhead,1987,Sandy R,8562.75,2535.75,11025.0
Steelhead,1987,Santiam R N,2713.7999999999997,15378.199999999999,18092.0
Steelhead,1987,Santiam R S,738.08,9805.92,10544.0
Steelhead,1987,Satus Cr,57.300000000000004,2807.7,2865.0
Steelhead,1987,Skagit R,2780.7000000000003,25026.300000000003,27807.0
Steelhead,1987,Skokomish R,0.0,1638.0,1638.0
Steelhead,1987,Snoqualmie R,0.0,4840.0,4840.0
Steelhead,1987,South Fork John Day River,0.0,5841.0,5841.0
Steelhead,1987,Stillaguamish R,0.0,5676.0,5676.0
Steelhead,1987,Strait of Juan de Fuca Tributaries,0.0,216.0,216.0
Steelhead,1987,Tahuya R,0.0,238.0,238.0
Steelhead,1987,Tolt R,0.0,264.0,264.0
Steelhead,1987,Toppenish Cr,14.940000000000001,732.06,747.0
Steelhead,1987,Touchet R,222.48,1631.52,1854.0
Steelhead,1987,Umatilla R,0.0,8730.0,8730.0
Steelhead,1987,Upper Grande Ronde River,0.0,7590.0,7590.0
Steelhead,1987,Wenatchee River,11187.57,2291.4300000000003,13479.0
Steelhead,1987,White R,0.0,2181.0,2181.0
Steelhead,1987,Yakima R Upper,9.42,461.5799999999999,471.0
Steelhead,1988, ,0.0,33984.0,33984.0
